gene_symbol,mean_DMD,mean_control,log2FC,p_value,padj,neg_log10_padj,regulation
HTATSF1P2,3.2642537235000004,3.3862500673333336,-0.12199634383333313,0.7982601230202027,0.8889306396552268,0.05113212428305922,not_significant
LILRP2,2.2943678090625,2.3085299884999997,-0.014162179437499756,0.7983496502457992,0.8889848308899708,0.051105649510085976,not_significant
LOC100129175,2.286391249125,2.292936152833333,-0.006544903708333383,0.798746315784747,0.8893810062389789,0.05091214964948994,not_significant
CWC25,5.0976283734375,5.114711319166667,-0.017082945729167243,0.7990837818990091,0.8897112275558086,0.05075092889361377,not_significant
DLG1,5.6241071355535714,5.641414368357144,-0.017307232803572603,0.799134909967973,0.8897226185441787,0.05074536864937825,not_significant
CAD,4.0420005190624995,4.053172151083333,-0.011171632020833933,0.7991843665695837,0.8897321475216874,0.05074071735682597,not_significant
DYNC1LI2,7.5460739394375,7.518295675333333,0.027778264104166617,0.7995921057165242,0.8900949833629936,0.05056364667039293,not_significant
CLDN19,3.21073748375,3.2229245989444446,-0.012187115194444598,0.7995889158853965,0.8900949833629936,0.05056364667039293,not_significant
NICN1,6.7607184221875,6.7313561318333335,0.029362290354166376,0.7997558509517207,0.8902317098574848,0.05049694030416213,not_significant
CD274,4.157217371125,4.08832946175,0.06888790937500033,0.7998962828364471,0.8903424729141421,0.05044290853751908,not_significant
FGF13-AS1,2.2853099274375,2.2794111084999997,0.0058988189375002165,0.8002137421988744,0.8906502589551066,0.050292801489762465,not_significant
SNORD19B,9.006136021562499,8.963075533166666,0.04306048839583276,0.8003307098830785,0.8907348745846613,0.05025154359405637,not_significant
C1orf194,2.2749742168125,2.272215114,0.002759102812499581,0.800418187536344,0.8907866620551035,0.05022629437625175,not_significant
FBXL17,5.0206380169125,5.0400778883,-0.01943987138750014,0.8007009272958284,0.8910557406169496,0.05009512751736312,not_significant
BTN2A3P,2.3622383815,2.351511744166667,0.010726637333333233,0.8012373089497521,0.8916070412379468,0.049826510448965376,not_significant
RPL10,12.509585669375,12.521276176666666,-0.011690507291666208,0.8013239069337516,0.8916577973169538,0.049801788282560044,not_significant
ESPL1,2.3059988883437503,2.3097183388333336,-0.0037194504895832203,0.8016560480731247,0.8919817576631971,0.049644027492961935,not_significant
DHFR,6.6721356284375,6.604539021416666,0.06759660702083448,0.8017738232408462,0.8920215569502203,0.0496246501626631,not_significant
